SalesId,SalesDate,SalesChannel,SalesLocation,CustomerId,CustomerName,ProductId,ProductName,UnitPrice,Quantity,ProductCategory,SalesRepresentativeId,SaleStatus,SalesPostalCode,,,
37,24/03/2023,Retail,Madrid,0b8e7fe5-9e1a-46c4-9c60-e7e3b16e94f2,Ginger Erbe,3,Phone,630.75,4,Technology,59-6078935,Shipped,28012,,,
38,27/05/2023,Retail,Barcelona,b3cb933f-adf0-4841-927e-566d9163e80b,Elora Danielli,3,Phone,630.75,12,Technology,65-4913624,Delivered,08025,,,
39,12/10/2023,Retail,Sevilla,c70c5f5d-d34f-4601-869e-fcabc9b41e09,Binnie Wharfe,9,Drinks,5.5,12,Food & Drinks,,Delivered,41011,,,
40,24/04/2023,Retail,Sevilla,931287ad-878b-4e2b-8177-e0018d2bc237,Mercie Pires,10,Clothes,25.99,14,Clothes,94-8847251,Shipped,41011,,,
41,26/11/2023,Retail,Palma de Mallorca,,Ernestine Border,9,Drinks,5.5,5,Food & Drinks,85-3342840,On-Site,07005,,,
42,30/03/2023,Retail,Madrid,18d1061b-d0b7-4a2e-aa3b-203bc2d6c5ef,Shalne Cumming,5,Videogame,50,15,Entretainment,87-5219829,Delivered,28012,,,
43,20/01/2023,Retail,Sevilla,52939b99-b1a7-40b3-a385-c5aa554e66df,Ruy Gauford,2,Headphones,90,2,Technology,77-8997516,On-Site,41011,,,
44,22/10/2023,Retail,Sevilla,a9e1e0ee-cb0e-44ff-a8d0-6076177f2a57,Julieta Crowden,1,TV,532.9,6,Technology,80-6629788,Confirmed,41011,,,
45,16/12/2023,Retail,Madrid,1ba74675-21c5-458d-8118-2c725353c7fb,Tome Bandt,7,CD,40,11,Entretainment,32-0772409,Delivered,28012,,,
46,21/01/2023,Retail,Barcelona,a398ee69-50f2-4234-b44a-9fbb04934b14,Toby Wanklin,5,Videogame,50,3,Entretainment,66-4669819,Confirmed,08025,,,
47,28/05/2023,Retail,Sevilla,cdf27293-b6d8-49c6-a36a-efdccef9f31f,Harp Lyndon,6,Board Game,23.99,10,Entretainment,08-8306304,Shipped,41011,,,
48,04/01/2023,Retail,Valencia,b532ab54-647f-4434-a4dc-ca4727b5a287,Giulio Kinningley,,,,15,Food & Drinks,53-8698621,On-Site,46007,,,
49,03/11/2023,Retail,Palma de Mallorca,a03450bc-17d2-46c1-bafa-8ac6354d81e4,Cornelle Sabathe,4,Computer,1503.5,1,Technology,73-0838078,On-Site,07005,,,
50,18/12/2023,Retail,Barcelona,85a0a036-bdc6-4b41-ad34-ba13413139a2,Cate Burras,10,Clothes,25.99,5,Clothes,79-2955477,On-Site,08025,,,
51,10/07/2023,Retail,Madrid,4165913a-23da-49cc-8dc3-2936f60314de,Meryl Coathup,7,CD,40,11,Entretainment,33-4748589,Confirmed,28012,,,
52,09/09/2023,Retail,Madrid,56942e29-453b-4a94-a685-700b214dae80,Umberto Wakeley,10,Clothes,25.99,8,Clothes,13-6326166,Delivered,28012,,,
53,10/02/2023,Retail,Valencia,bafe12cf-4c61-41d7-861b-74ae74eed975,Rem Laminman,10,Clothes,25.99,5,Clothes,15-4521988,,46007,,,
54,28/07/2023,Retail,Valencia,40a61ec5-a44b-4a76-9596-01f4df43ad2c,Hailee Fellnee,8,Food,15.65,6,Food & Drinks,92-7303560,Confirmed,46007,,,
55,27/02/2023,Retail,Madrid,fbc77497-4efb-48c4-b000-21a995b4f035,Dierdre Hammerson,9,Drinks,5.5,3,Food & Drinks,37-8216014,Shipped,28012,,,
56,05/11/2023,Retail,Barcelona,2e6fd4e5-6109-4ac9-93ef-5aa49dc3e4c9,Tanny Mavin,9,Drinks,5.5,12,Food & Drinks,65-1901261,Confirmed,08025,,,
57,19/02/2023,Retail,Madrid,ceb7ae1d-60fc-4da1-8103-51afe2279c6b,Geno Harry,10,Clothes,25.99,4,Clothes,48-5735485,Delivered,28012,,,
58,08/12/2023,Retail,Valencia,5f59fa84-583a-40c7-ab93-9b625412d462,Radcliffe Tointon,6,Board Game,23.99,7,Entretainment,55-8900155,On-Site,46007,,,
59,18/06/2023,Retail,Barcelona,92932e70-ec42-4c51-8672-f46aba4cac15,Georgeanne Mobbs,5,Videogame,50,8,Entretainment,73-1041981,Confirmed,08025,,,
60,15/01/2023,Retail,Barcelona,50aeeee7-3a3d-4459-a5e3-8225f641536b,Jyoti Vlasenkov,1,TV,532.9,6,Technology,,Delivered,08025,,,
61,25/10/2023,Retail,Madrid,788ffda8-2fc7-4e06-ad76-aa328443f122,Stacie Colwill,10,Clothes,25.99,2,Clothes,36-4735958,Shipped,28012,,,
62,04/08/2023,Retail,Barcelona,11345375-d802-4284-93ea-2003bb15af67,Chrissy Farncomb,3,Phone,630.75,2,Technology,79-6401618,,08025,,,
63,03/09/2023,Retail,Barcelona,415d9424-56ad-4aae-8e21-96c490371ccf,Bjorn Gregoretti,3,Phone,630.75,7,Technology,62-2279847,Confirmed,08025,,,
64,11/02/2023,Retail,Madrid,,Celka De Anesy,9,Drinks,5.5,14,Food & Drinks,49-8964096,On-Site,28012,,,
65,29/10/2023,Retail,Madrid,5663eac6-cb4c-4746-aec9-d2af962018ed,Chariot Van Velden,2,Headphones,90,8,Technology,45-3057157,Shipped,28012,,,
66,12/02/2023,Retail,Valencia,da9d6f72-163a-4fc6-8fc4-cb56528886b6,Joshua De'Vere - Hunt,3,Phone,630.75,6,Technology,08-1458318,Confirmed,46007,,,
67,06/08/2023,Retail,Barcelona,9644bbf6-3b3a-4707-b337-538d8a314059,Dona Ashmole,8,Food,15.65,1,Food & Drinks,22-4075665,Delivered,08025,,,
68,31/03/2023,Retail,Madrid,031b418a-98c3-4610-9156-7ab3a6199131,Stavros Kerfut,3,Phone,630.75,4,Technology,97-2408436,On-Site,28012,,,
69,06/04/2023,Retail,Barcelona,b0738c70-0840-4886-8d21-a26716c537bf,Leigha Petti,3,Phone,630.75,5,Technology,68-9763967,Confirmed,08025,,,
70,05/10/2023,Retail,Valencia,fa6babee-2858-4ff4-a606-401024c49876,Ashly Rundall,3,Phone,630.75,3,Technology,27-7824112,Confirmed,46007,,,
71,11/11/2023,Retail,Madrid,58ec7349-53b6-48af-bca6-b49513c3e31a,Adlai Izkovitch,6,Board Game,23.99,5,Entretainment,57-2685311,Delivered,28012,,,
72,15/12/2023,Retail,Madrid,759a24a4-1b10-42f7-9eff-a87ee63c6686,Laurene Veazey,6,Board Game,23.99,14,Entretainment,03-7063210,On-Site,28012,,,
73,03/07/2023,Retail,Palma de Mallorca,0df16adc-bcba-4898-b22d-8c25f73c92df,,1,TV,532.9,2,Technology,23-3214022,On-Site,07005,,,
74,13/09/2023,Retail,Madrid,a5adc7f2-b814-474a-b820-bcf2c930578e,Carline Kondratyuk,1,TV,532.9,8,Technology,59-4929531,Delivered,28012,,,
75,23/08/2023,Retail,Madrid,29162153-2c23-4841-8139-e949c9fbed72,Crystie Uzielli,4,Computer,1503.5,8,Technology,50-9619587,Delivered,28012,,,
76,18/09/2023,Retail,Valencia,6a491ea2-f6b5-481d-b84c-5aad516a48e0,Ilario Berardt,10,Clothes,25.99,13,Clothes,79-5938374,Shipped,46007,,,
77,19/08/2023,Retail,Madrid,c27b6d09-996a-4dff-8272-44f374e62a87,Ottilie Tewelson,5,Videogame,50,2,Entretainment,18-1636600,Delivered,28012,,,
78,22/05/2023,Retail,Sevilla,ebdd10a9-36db-4d71-8bd8-d566c0d78f67,Gae Petett,6,Board Game,23.99,14,Entretainment,78-7132796,Delivered,41011,,,
79,16/12/2023,Retail,Sevilla,a9005e9e-8a11-4d0a-b691-0fc1c45247ba,Rori Conkie,10,Clothes,25.99,10,Clothes,91-8990692,Shipped,41011,,,
80,14/05/2023,Retail,,052afd72-1d34-4bfa-940c-c7447fae4701,Husein Olney,2,Headphones,90,13,Technology,00-7062356,Delivered,,,,
81,04/03/2023,Retail,Sevilla,2dde07ee-9531-43fd-b0f4-dc2c68324d89,Minerva Anstead,7,CD,40,3,Entretainment,35-5470884,Delivered,41011,,,
82,06/08/2023,Retail,Madrid,cf0b8782-5652-453d-b023-0d7891b6286e,Huberto Seivertsen,10,Clothes,25.99,15,Clothes,86-3259942,Delivered,28012,,,
83,14/06/2023,Retail,Valencia,c5ef04ca-5144-4875-8f12-4c3209c2fb4d,Juliet Braams,7,CD,40,9,Entretainment,64-2432880,On-Site,46007,,,
84,19/06/2023,Retail,Madrid,43142f23-d278-4a1d-91b4-96ff63c15402,Patin Catling,8,Food,15.65,11,Food & Drinks,,On-Site,28012,,,
85,13/10/2023,Retail,Madrid,7d213d8e-3744-485e-80fd-7620a0646fa0,Ervin Harsent,1,TV,532.9,6,Technology,65-0148515,Shipped,28012,,,
86,21/08/2023,Retail,Madrid,,El Juzek,4,Computer,1503.5,0,Technology,59-5373856,Shipped,28012,,,
87,12/07/2023,Retail,Madrid,,Rahel Challice,6,Board Game,23.99,11,Entretainment,29-6232704,Delivered,28012,,,
88,16/11/2023,Retail,Palma de Mallorca,74a53121-cca8-46e8-88f9-fbcab1813868,Davine Ebsworth,10,Clothes,25.99,10,Clothes,72-4473361,,07005,,,
89,13/02/2023,Retail,Sevilla,f4024cf6-8a9f-4f0f-8cf5-4714d9a05660,Giffard Kissack,10,Clothes,25.99,14,Clothes,18-7232190,Shipped,41011,,,
90,16/01/2023,Retail,Barcelona,7e521e63-90ee-4688-bd62-3d181a9ec92d,,8,Food,15.65,11,Food & Drinks,16-0928436,Delivered,08025,,,
91,18/01/2023,Retail,Madrid,b3964dee-934e-44da-94f1-23447fb23c31,Korrie Calderonello,3,Phone,630.75,11,Technology,33-4836691,Delivered,28012,,,
92,20/02/2023,Retail,Madrid,7e41ac0c-dc01-44bb-a477-feb12ca65cf8,Diann Jiroutka,5,Videogame,50,4,Entretainment,10-3871128,Confirmed,28012,,,
93,22/12/2023,Retail,Valencia,9bd7f634-9721-4f72-85c8-44d49e76c427,Sherry Moxon,4,Computer,1503.5,5,Technology,51-5199066,On-Site,46007,,,
94,06/11/2023,Retail,Sevilla,68f7b96d-f8a8-4167-989c-c4855a0ddfd6,Herschel Rowler,3,Phone,630.75,7,Technology,65-0121337,Confirmed,41011,,,
95,09/08/2023,Retail,Barcelona,e9d719fd-a6f4-4684-b652-acf71353b825,Aaren Dayly,3,Phone,630.75,13,Technology,94-1324874,,08025,,,
96,08/04/2023,Retail,Madrid,9d665991-163a-4e62-bbd5-b9803132a1d2,Riordan Vaadeland,3,Phone,630.75,10,Technology,91-4038372,Delivered,28012,,,
97,23/01/2023,Retail,Sevilla,b26e56e9-8fae-40ae-bd3d-9491cec7e701,Felipa Vigietti,1,TV,532.9,6,Technology,80-5148541,Shipped,41011,,,
98,04/11/2023,Retail,Sevilla,9f9cdd1e-4d4d-4c78-ad70-03797f1f7f8d,Ernaline Blenkharn,10,Clothes,25.99,14,Clothes,,Shipped,41011,,,
99,02/03/2023,Retail,Valencia,5a129bb4-5a7f-441d-b460-aa82e3e47dcf,Odo MacWilliam,10,Clothes,25.99,8,Clothes,37-7582559,Shipped,46007,,,
100,23/05/2023,Retail,Palma de Mallorca,c9afb632-08ea-438b-8b4b-650cc91d4a76,Tabor Knatt,6,Board Game,23.99,10,Entretainment,82-7105816,,07005,,,
101,18/10/2023,Retail,Valencia,8baeae5f-ed73-416a-ad9d-8f3fd1bc2b32,Chrisy Willard,8,Food,15.65,5,Food & Drinks,86-1578382,Shipped,46007,,,
102,21/01/2023,Retail,Barcelona,6c2a53e7-0671-452f-b465-ac45a6d2fe91,Elladine Bulled,1,TV,532.9,11,Technology,43-2001033,Shipped,08025,,,
103,31/10/2023,Retail,Madrid,02863cbd-b6a3-4adc-82cf-7846ce7421ba,Martynne Trigwell,,,,4,,08-9257830,On-Site,28012,,,
104,05/10/2023,Retail,Palma de Mallorca,4b50b23b-fe60-4292-afde-279ae9b088ba,Stephi Rigglesford,6,Board Game,23.99,5,Entretainment,73-2051826,Delivered,07005,,,
105,01/03/2023,Retail,Madrid,76eccd18-cf2d-4206-81bd-493986762422,Tam Sainer,4,Computer,1503.5,3,Technology,02-5919968,Confirmed,28012,,,
106,17/08/2023,Retail,Valencia,a9f60d42-fd94-4386-abc9-686b9d81d608,Rhianon Quartermain,6,Board Game,23.99,2,Entretainment,14-9732145,Delivered,46007,,,
107,29/07/2023,Retail,Barcelona,b13fb438-6e09-44e2-ab52-9c3ada134c12,Velvet Ewbanche,10,Clothes,25.99,7,Clothes,,Shipped,08025,,,
108,19/02/2023,Retail,Madrid,1aeac95f-1b78-4169-81fa-8654ac5e023c,Octavius Brignall,4,Computer,1503.5,5,,09-3668770,On-Site,28012,,,
109,10/10/2023,Retail,Barcelona,f7300f6f-905b-4ca1-b1c9-c0655568c263,Tadd Coaker,4,Computer,1503.5,9,Technology,46-6197529,Shipped,08025,,,
110,06/07/2023,Retail,Sevilla,aaaaf178-44f9-4b05-814a-667ff15713b4,Arte Leonardi,10,Clothes,25.99,13,Clothes,34-5871642,Delivered,41011,,,
111,02/11/2023,Retail,Barcelona,6abdde8a-c458-442e-a991-7e83552822be,Wye Sargint,10,Clothes,25.99,5,Clothes,80-4919022,On-Site,08025,,,
112,12/04/2023,Retail,Madrid,4bca8239-5951-4509-b92b-0436e6d2ab7b,Mitchel Yukhin,9,Drinks,5.5,11,Food & Drinks,57-3921248,,28012,,,
113,11/11/2023,Retail,Sevilla,b8db5e88-70eb-4341-8a1b-4233c7147225,Steffen Ferrettino,10,Clothes,25.99,9,Clothes,52-8755117,Delivered,41011,,,
114,15/07/2023,Retail,Barcelona,7538073a-ed38-4379-8eb1-c2208a45b3de,Johnette Ogle,7,CD,40,14,Entretainment,27-8760181,Delivered,08025,,,
115,15/02/2023,Retail,Sevilla,bb30339a-4800-46b4-9aa0-45de608daab6,Carmelle Orcas,3,Phone,630.75,14,Technology,03-1078421,On-Site,41011,,,
116,03/06/2023,Retail,Valencia,57d78f06-9560-494a-8b3c-7918cdb7e415,Rickie Turnbull,10,Clothes,25.99,3,Clothes,93-5293890,Delivered,46007,,,
117,03/09/2023,Retail,Sevilla,1e6318bd-6417-4240-9510-4b8e262a7ad4,Kissie Hazelgrove,2,Headphones,90,11,Technology,17-3290957,Confirmed,41011,,,
118,12/07/2023,Retail,Madrid,ee2abba0-152c-48c5-acab-e20104f57f66,Lisle Alvar,4,Computer,1503.5,8,Technology,81-0495013,Shipped,28012,,,
119,04/12/2023,Retail,Barcelona,cf3483a2-fa1b-4272-946c-572c5a84e512,Udale Poles,1,TV,532.9,4,Technology,74-1425140,Confirmed,08025,,,
120,23/01/2023,Retail,Sevilla,3ff27af8-e129-41ec-ab85-d675613db125,Sophi Campelli,3,Phone,630.75,5,Technology,58-3607650,Shipped,41011,,,
121,10/03/2023,Retail,Madrid,38c35af6-9a4b-4a0e-8f49-29afc2405167,Audry Sweett,8,Food,15.65,10,Food & Drinks,79-8174676,On-Site,28012,,,
122,25/10/2023,Retail,Barcelona,8b38004b-4a41-4e10-96e6-92f3b3514813,Duke Hefner,5,Videogame,50,1,Entretainment,59-8354640,Delivered,08025,,,
123,04/09/2023,Retail,Barcelona,0b0a8c35-636e-48e6-b897-d166697d9cc9,Alysa Wallis,,,,5,,33-5167405,Confirmed,08025,,,
124,23/12/2023,Retail,Madrid,b90789e2-8e10-4550-a8d5-ecc27f6059cd,Artur Ratlee,5,Videogame,50,8,Entretainment,23-1894513,Confirmed,28012,,,
125,23/01/2023,Retail,Valencia,27243ce9-dfd8-4491-9b3a-d3335578901a,Dorelia Giggie,5,Videogame,50,7,Entretainment,77-9484682,Confirmed,46007,,,
126,23/11/2023,Retail,Barcelona,9dd467c8-d1c9-447f-8b01-4ab6651ff4dd,Petey Gatus,9,Drinks,5.5,14,Food & Drinks,19-5293215,Delivered,08025,,,
127,24/09/2023,Retail,Barcelona,25825e95-5e7c-4182-bc80-d9124369cb57,Lauren McAree,4,Computer,1503.5,12,Technology,98-5127708,On-Site,08025,,,
128,30/09/2023,Retail,Barcelona,681c1a30-a67c-4d96-b9ba-0f93cff94803,Karly Birkenshaw,10,Clothes,25.99,2,Clothes,67-2298354,Shipped,08025,,,
129,04/11/2023,Retail,Madrid,78b4c21b-820e-4b03-903e-9cf17b7d46d7,Keary Hame,10,Clothes,25.99,10,Clothes,33-0522661,Shipped,28012,,,
130,04/01/2023,Retail,Barcelona,ccfa2cef-193e-4a44-8d03-c17f826c26e6,Evita Corbitt,4,Computer,1503.5,3,Technology,45-4479382,Shipped,08025,,,
131,18/11/2023,Retail,Sevilla,f84dd539-ad3e-4c90-8891-b292916600ab,Jermain Colson,10,Clothes,25.99,10,Clothes,21-6418364,On-Site,41011,,,
132,05/11/2023,Retail,Sevilla,f0f74498-d3a2-41c9-9e46-bbf00deb86c8,Wolfie Vel,2,Headphones,90,3,Technology,91-7220536,Shipped,41011,,,
133,22/02/2023,Retail,Sevilla,eba08eac-81fe-4081-be75-10123aa18378,Edithe Stair,6,Board Game,23.99,11,Entretainment,23-8400656,On-Site,41011,,,
134,21/07/2023,Retail,Sevilla,,Elana Raye,3,Phone,630.75,10,Technology,11-2755163,Delivered,41011,,,
135,19/01/2023,Retail,Palma de Mallorca,6adc8f81-c5af-4729-91a0-fe6642c261a5,Buddie Holmyard,7,CD,40,2,,20-9927905,Confirmed,07005,,,
136,30/06/2023,Retail,Palma de Mallorca,081655f8-1ae8-4243-a843-fe4977c79c4a,Angus Darragon,7,CD,40,12,Entretainment,01-7142842,Confirmed,07005,,,
137,19/12/2023,Retail,Madrid,5c5daef2-f674-41e5-94b1-77d8b800829a,Willis Dauber,10,Clothes,25.99,3,Clothes,27-0789986,Shipped,28012,,,
138,04/02/2023,Retail,Barcelona,bb237f42-4320-40b2-a0ad-649803679e58,Marchall Carine,9,Drinks,5.5,13,Food & Drinks,26-2741096,Confirmed,08025,,,
139,06/09/2023,Retail,Sevilla,a3242a83-5d5d-4b3b-8cc9-955d98546c56,Emmy Oxteby,3,Phone,630.75,4,Technology,06-7803954,On-Site,41011,,,
140,04/08/2023,Retail,Madrid,ae0d9471-bdee-4251-a5cb-8cf90522e5ca,Derrick Lilian,6,Board Game,23.99,2,Entretainment,89-7809282,Shipped,28012,,,
141,17/04/2023,Retail,Barcelona,c597cef4-baf3-45c9-9a8a-406cf8bc7f4d,Erv Pilbury,9,Drinks,5.5,7,Food & Drinks,39-5881984,On-Site,08025,,,
142,30/12/2023,Retail,Barcelona,8c448c9d-a26e-4a60-9b12-3a672373b66a,Filip Brommage,9,Drinks,5.5,5,Food & Drinks,18-5029153,Delivered,08025,,,
143,20/07/2023,Retail,Valencia,c7019328-da9a-442c-a918-12e7b5c81810,Merna Haggie,9,Drinks,5.5,4,Food & Drinks,37-3661147,Delivered,46007,,,
144,06/08/2023,Retail,Barcelona,5042aacf-3763-46fa-9124-fb73096ecd5f,Doralia Barras,3,Phone,630.75,10,Technology,09-7789281,On-Site,08025,,,
145,07/06/2023,Retail,Sevilla,0cb7933f-92a3-45bd-9730-11a674e3a9ca,Hilly Firminger,3,Phone,630.75,6,Technology,56-8083901,Shipped,41011,,,
146,20/11/2023,Retail,Barcelona,5371bd85-20bc-4d93-a920-7dd1ae222075,Tallia Squibb,6,Board Game,23.99,6,Entretainment,99-5660560,On-Site,08025,,,
147,02/01/2023,Retail,Sevilla,39298eaa-666e-4ca9-89dc-6fe0850dd1e2,Zaria Smees,5,Videogame,50,2,Entretainment,41-7890931,On-Site,41011,,,
148,24/06/2023,Retail,Sevilla,87fcd7ff-2bbd-4826-917f-9b0626bc7019,Elwin Pawden,4,Computer,1503.5,6,Technology,65-8857496,Shipped,41011,,,
149,02/04/2023,Retail,Valencia,67251a80-be65-4f92-9e5b-0dfefc53b1bf,Modesty Stranio,1,TV,532.9,13,Technology,82-7129114,Delivered,46007,,,
150,20/09/2023,Retail,Valencia,c3561e16-fe3d-4e1b-8856-66e97b0e3797,Patrice Dobbins,1,TV,532.9,10,Technology,48-6865847,Delivered,46007,,,
151,30/08/2023,Retail,Barcelona,57d1fbef-e890-4653-a9ed-ff2870e62d42,Lynnelle Spanton,8,Food,15.65,3,Food & Drinks,42-4856226,Delivered,08025,,,
152,20/07/2023,Retail,Barcelona,2f4df833-9bca-408a-b8bc-41af890adf65,Debee Barnsley,6,Board Game,23.99,15,,41-3114081,On-Site,08025,,,
153,15/03/2023,Retail,Barcelona,25b34c8c-9429-43e8-8154-4d31d6291a49,Lamont Cauderlie,1,TV,532.9,9,Technology,94-7907297,Delivered,08025,,,
154,18/03/2023,Retail,Madrid,3144007f-f4f8-414f-90d8-28ae97ba6130,Hazel Fackrell,6,Board Game,23.99,13,Entretainment,67-9803727,Shipped,28012,,,
155,27/06/2023,Retail,Valencia,a4f24c6c-02e2-4849-a2ac-661ce21e5e35,Verla Birkmyre,5,Videogame,50,12,Entretainment,04-9672606,Confirmed,46007,,,
156,31/05/2023,Retail,Valencia,,Valaree Deetlefs,2,Headphones,90,11,Technology,10-9019524,On-Site,46007,,,
157,22/10/2023,Retail,Barcelona,ea3a49ab-1248-4312-8833-504a50e158dd,Hieronymus Baggs,6,Board Game,23.99,13,Entretainment,91-2483809,Delivered,08025,,,
